customer_id,customer_name,segment,region,state,city,analysis_date,first_order_date,last_order_date,days_since_last_order,expected_reorder_days,inactivity_ratio,total_orders,lifetime_sales,lifetime_profit,avg_order_value,profit_margin_pct,customer_segment,orders_last_90_days,sales_last_90_days,sales_previous_90_days,sales_change_pct,behavior_trend,churn_risk_score,churn_risk_band,inactivity_status,churn_flag,declining_behavior_flag,recommended_retention_action,retention_priority_score,retention_priority_rank,priority_group
AH-10690,Anna Häberlin,Corporate,West,California,San Diego,2017-12-30,2014-04-02,2016-11-15,410,65.0,6.31,12,7888.29,1298.02,657.36,16.45,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.62,12,Top 25
PS-19045,Penelope Sewall,Home Office,West,California,Los Angeles,2017-12-30,2014-12-20,2017-05-08,236,109.0,2.17,7,6843.63,1742.73,977.66,25.46,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.49,13,Top 25
KD-16270,Karen Daniels,Consumer,East,New York,New York City,2017-12-30,2014-11-11,2016-09-02,484,66.0,7.33,5,8282.36,1107.7,1656.47,13.37,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.39,14,Top 25
VD-21670,Valerie Dominguez,Consumer,South,Mississippi,Jackson,2017-12-30,2014-08-04,2016-05-28,581,66.0,8.8,6,6442.25,1617.79,1073.71,25.11,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.02,15,Top 25
RH-19510,Rick Huthwaite,Home Office,East,Rhode Island,Providence,2017-12-30,2014-11-16,2016-09-19,467,92.0,5.08,6,6979.18,1289.45,1163.2,18.48,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.0,16,Top 25
SD-20485,Shirley Daniels,Home Office,Central,Illinois,Chicago,2017-12-30,2014-01-26,2017-06-13,200,93.0,2.15,9,6121.11,1985.17,680.12,32.43,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,82.92,17,Top 25
PO-19180,Philisse Overcash,Home Office,Central,Wisconsin,Kenosha,2017-12-30,2015-08-11,2017-07-23,160,63.0,2.54,9,4893.04,1155.43,543.67,23.61,Loyal Customer,0,0.0,399.95,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,82.87,18,Top 25
JD-15895,Jonathan Doherty,Corporate,South,Virginia,Richmond,2017-12-30,2014-03-26,2016-12-01,394,47.0,8.38,11,7610.86,1050.27,691.9,13.8,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,82.73,19,Top 25
MS-17365,Maribeth Schnelling,Consumer,West,California,San Francisco,2017-12-30,2014-09-09,2017-04-01,273,61.0,4.48,10,7443.69,844.94,744.37,11.35,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,82.28,20,Top 25
KD-16495,Keith Dawkins,Corporate,West,California,Los Angeles,2017-12-30,2014-09-28,2017-09-09,112,60.0,1.87,12,8181.26,3038.63,681.77,37.14,Loyal Customer,0,0.0,117.41,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,82.04,21,Top 25
DP-13390,Dennis Pardue,Home Office,South,Alabama,Tuscaloosa,2017-12-30,2014-07-05,2017-01-06,358,106.0,3.38,9,5480.72,1571.83,608.97,28.68,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,81.77,22,Top 25
SV-20365,Seth Vernon,Consumer,East,New York,New York City,2017-12-30,2014-01-11,2017-09-20,101,65.0,1.55,10,11470.95,1199.42,1147.1,10.46,Loyal Customer,0,0.0,8459.94,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,81.61,23,Top 25
SC-20725,Steven Cartwright,Consumer,East,New York,New York City,2017-12-30,2014-06-03,2017-06-26,187,67.0,2.79,11,5226.21,1276.65,475.11,24.43,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,80.88,24,Top 25
RW-19540,Rick Wilson,Corporate,West,Washington,Seattle,2017-12-30,2015-02-03,2017-09-01,120,64.0,1.88,7,7397.4,1586.63,1056.77,21.45,Loyal Customer,0,0.0,4143.91,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,80.85,25,Top 25
PP-18955,Paul Prost,Home Office,South,Florida,Hollywood,2017-12-30,2014-08-26,2017-09-24,97,51.0,1.9,10,7252.61,1495.09,725.26,20.61,Loyal Customer,0,0.0,399.53,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,80.68,26,Next 50
DH-13075,Dave Hallsten,Corporate,West,California,Fairfield,2017-12-30,2014-11-21,2017-03-28,277,59.0,4.69,6,4932.87,1193.74,822.15,24.2,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,80.35,27,Next 50
TS-21205,Thomas Seio,Corporate,South,Tennessee,Nashville,2017-12-30,2014-03-21,2017-06-15,198,99.0,2.0,7,5371.09,862.89,767.3,16.07,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,80.33,28,Next 50
MC-17425,Mark Cousins,Corporate,South,Alabama,Mobile,2017-12-30,2014-05-30,2016-11-26,399,152.0,2.63,5,4432.14,1802.39,886.43,40.67,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,80.1,29,Next 50
TB-21400,Tom Boeckenhauer,Consumer,West,Washington,Seattle,2017-12-30,2014-01-21,2017-06-11,202,116.0,1.74,7,9133.99,2798.37,1304.86,30.64,Loyal Customer,0,0.0,0.0,,Stable,65,High Risk,Churned,1,0,Targeted retention offer,79.69,30,Next 50
KF-16285,Karen Ferguson,Home Office,South,Georgia,Sandy Springs,2017-12-30,2014-09-26,2017-09-24,97,97.0,1.0,7,10604.27,1660.14,1514.9,15.66,Loyal Customer,0,0.0,2237.57,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,79.41,31,Next 50
SC-20230,Scot Coram,Corporate,West,Washington,Seattle,2017-12-30,2016-06-06,2017-08-03,149,63.0,2.37,4,4371.96,440.14,1092.99,10.07,Repeat Customer,0,0.0,16.06,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,78.56,32,Next 50
CB-12535,Claudia Bergmann,Corporate,South,North Carolina,Chapel Hill,2017-12-30,2015-01-02,2017-06-16,197,75.0,2.63,8,4246.46,1049.56,530.81,24.72,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,78.25,33,Next 50
PW-19240,Pierre Wener,Consumer,East,Pennsylvania,Philadelphia,2017-12-30,2014-11-18,2016-09-22,464,92.0,5.04,7,3922.42,1290.35,560.35,32.9,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,78.25,33,Next 50
NM-18445,Nathan Mautz,Home Office,East,New York,New York City,2017-12-30,2014-02-08,2017-07-23,160,146.0,1.1,7,6459.34,2751.68,922.76,42.6,Loyal Customer,0,0.0,13.92,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,78.12,34,Next 50
IM-15070,Irene Maddox,Consumer,West,Washington,Seattle,2017-12-30,2014-12-19,2016-12-05,390,54.0,7.22,7,4930.47,514.65,704.35,10.44,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,77.7,35,Next 50
AJ-10795,Anthony Johnson,Corporate,West,California,Apple Valley,2017-12-30,2014-05-14,2017-07-17,166,87.0,1.91,7,4501.39,1158.71,643.06,25.74,Loyal Customer,0,0.0,1295.03,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,76.6,36,Next 50
RL-19615,Rob Lucas,Consumer,South,North Carolina,Fayetteville,2017-12-30,2014-12-05,2017-08-31,121,65.0,1.86,8,6234.91,488.15,779.36,7.83,Loyal Customer,0,0.0,1574.38,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,76.5,37,Next 50
NP-18700,Nora Preis,Consumer,West,California,San Francisco,2017-12-30,2014-09-05,2017-08-14,138,134.0,1.03,7,7903.18,631.23,1129.03,7.99,Loyal Customer,0,0.0,22.44,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,75.96,38,Next 50
SV-20785,Stewart Visinsky,Consumer,East,Maryland,Baltimore,2017-12-30,2014-04-12,2017-02-13,320,65.0,4.92,9,4105.31,485.03,456.15,11.81,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,75.45,39,Next 50
JS-15880,John Stevenson,Consumer,Central,Texas,Irving,2017-12-30,2014-04-08,2016-07-14,534,155.0,3.45,5,3868.02,564.98,773.6,14.61,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,75.39,40,Next 50
HR-14830,Harold Ryan,Corporate,West,California,Huntington Beach,2017-12-30,2014-11-24,2017-07-24,159,112.0,1.42,7,5248.79,1196.95,749.83,22.8,Loyal Customer,0,0.0,2399.96,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,75.21,41,Next 50
IL-15100,Ivan Liston,Consumer,Central,Indiana,Columbus,2017-12-30,2014-08-01,2017-08-10,142,128.0,1.11,7,5040.74,1121.94,720.11,22.26,Loyal Customer,0,0.0,1645.87,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,74.77,42,Next 50
JK-15640,Jim Kriz,Home Office,West,Washington,Seattle,2017-12-30,2014-09-19,2017-07-03,180,139.0,1.29,9,4760.43,1172.53,528.94,24.63,Loyal Customer,0,0.0,4150.97,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,74.36,43,Next 50
HK-14890,Heather Kirkland,Corporate,West,California,Salinas,2017-12-30,2014-06-10,2017-08-01,151,123.0,1.23,8,4877.78,956.95,609.72,19.62,Loyal Customer,0,0.0,54.9,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,74.15,44,Next 50
RF-19345,Randy Ferguson,Corporate,Central,Illinois,Chicago,2017-12-30,2014-05-20,2016-12-05,390,93.0,4.19,8,3309.15,633.71,413.64,19.15,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,74.13,45,Next 50
BW-11110,Bart Watters,Corporate,West,Washington,Spokane,2017-12-30,2015-03-20,2017-08-31,121,84.0,1.44,8,4750.36,921.26,593.79,19.39,Loyal Customer,0,0.0,719.3,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,73.81,46,Next 50
BE-11335,Bill Eplett,Home Office,Central,Michigan,Jackson,2017-12-30,2016-01-15,2017-09-02,119,112.0,1.06,5,4204.68,1487.77,840.94,35.38,Repeat Customer,0,0.0,3889.92,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,73.56,47,Next 50
SB-20185,Sarah Brown,Consumer,East,New York,New York City,2017-12-30,2014-09-20,2017-06-25,188,138.0,1.36,6,6411.0,885.46,1068.5,13.81,Loyal Customer,0,0.0,0.0,,Stable,60,High Risk,Churned,1,0,Targeted retention offer,73.5,48,Next 50
MP-17470,Mark Packer,Home Office,East,Ohio,Columbus,2017-12-30,2014-03-30,2016-01-11,719,75.0,9.59,7,3206.13,600.29,458.02,18.72,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,73.31,49,Next 50
DW-13480,Dianna Wilson,Home Office,South,Kentucky,Louisville,2017-12-30,2014-06-01,2017-05-27,217,164.0,1.32,5,5271.63,1348.76,1054.33,25.59,Repeat Customer,0,0.0,0.0,,Stable,60,High Risk,Churned,1,0,Targeted retention offer,72.95,50,Next 50
TG-21310,Toby Gnade,Consumer,East,New York,New York City,2017-12-30,2015-03-09,2017-01-27,337,129.0,2.61,5,3058.37,682.17,611.67,22.31,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,72.91,51,Next 50
CC-12685,Craig Carroll,Consumer,Central,Texas,Lubbock,2017-12-30,2014-03-22,2015-10-23,799,79.0,10.11,4,2854.12,850.16,713.53,29.79,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,72.74,52,Next 50
JM-15865,John Murray,Consumer,West,California,Los Angeles,2017-12-30,2014-11-19,2017-09-12,109,129.0,0.84,7,7625.08,1574.62,1089.3,20.65,Loyal Customer,0,0.0,166.44,-100.0,Recently Inactive,55,Medium Risk,Inactive,0,1,Monitor and re-engage,72.73,53,Next 50
GK-14620,Grace Kelly,Corporate,Central,Texas,Plano,2017-12-30,2014-06-25,2017-09-09,112,135.0,0.83,9,6497.27,1448.55,721.92,22.29,Loyal Customer,0,0.0,9.86,-100.0,Recently Inactive,55,Medium Risk,Inactive,0,1,Monitor and re-engage,71.98,54,Next 50
GA-14515,George Ashbrook,Consumer,West,California,Los Angeles,2017-12-30,2014-05-18,2017-08-03,149,135.0,1.1,8,3919.78,840.9,489.97,21.45,Loyal Customer,0,0.0,99.87,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,71.67,55,Next 50
SR-20740,Steven Roelle,Home Office,East,New York,New York City,2017-12-30,2014-02-20,2017-06-17,196,165.0,1.19,8,4345.89,1990.42,543.24,45.8,Loyal Customer,0,0.0,0.0,,Stable,60,High Risk,Churned,1,0,Targeted retention offer,71.66,56,Next 50
JL-15850,John Lucas,Consumer,East,Pennsylvania,Philadelphia,2017-12-30,2014-07-22,2016-04-25,614,96.0,6.4,6,2725.26,779.9,454.21,28.62,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,71.63,57,Next 50
AP-10915,Arthur Prichep,Consumer,West,Colorado,Fort Collins,2017-12-30,2014-08-23,2017-09-23,98,56.0,1.75,10,3323.56,579.31,332.36,17.43,Loyal Customer,0,0.0,253.02,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,71.19,58,Next 50
BM-11140,Becky Martin,Consumer,West,California,Santa Barbara,2017-12-30,2014-09-08,2017-02-26,307,90.0,3.41,4,11789.63,-1659.96,2947.41,-14.08,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,71.0,59,Next 50
CM-12715,Craig Molinari,Corporate,Central,Texas,Houston,2017-12-30,2014-03-07,2015-03-01,1035,45.0,23.0,4,3984.45,176.31,996.11,4.42,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,71.0,59,Next 50
PF-19120,Peter Fuller,Consumer,East,New York,New York City,2017-12-30,2014-05-05,2015-09-17,835,42.0,19.88,4,9062.86,-614.29,2265.72,-6.78,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.91,60,Next 50
LC-16960,Lindsay Castell,Home Office,South,Virginia,Arlington,2017-12-30,2015-02-23,2016-10-20,436,151.0,2.89,4,3246.63,299.48,811.66,9.22,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.81,61,Next 50
AG-10270,Alejandro Grove,Consumer,East,Pennsylvania,Philadelphia,2017-12-30,2014-05-13,2017-03-27,278,121.0,2.3,5,2582.9,732.74,516.58,28.37,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.7,62,Next 50
KB-16585,Ken Black,Corporate,West,Washington,Seattle,2017-12-30,2014-04-04,2017-05-14,230,77.0,2.99,12,2744.74,579.36,228.73,21.11,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.66,63,Next 50
TS-21655,Trudy Schmidt,Consumer,West,California,Rancho Cucamonga,2017-12-30,2015-02-06,2017-05-06,238,95.0,2.51,5,3368.09,220.92,673.62,6.56,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.15,64,Next 50
BS-11665,Brian Stugart,Consumer,Central,Illinois,Chicago,2017-12-30,2014-06-23,2016-05-27,582,106.0,5.49,3,3288.11,238.74,1096.04,7.26,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,70.02,65,Next 50
SC-20260,Scott Cohen,Corporate,East,New York,New York City,2017-12-30,2014-04-06,2017-06-26,187,104.0,1.8,8,3729.79,671.0,466.22,17.99,Loyal Customer,0,0.0,0.0,,Stable,65,High Risk,Churned,1,0,Targeted retention offer,70.01,66,Next 50
AG-10900,Arthur Gainer,Consumer,South,Virginia,Richmond,2017-12-30,2014-07-23,2017-09-25,96,87.0,1.1,10,4510.8,343.68,451.08,7.62,Loyal Customer,0,0.0,285.95,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,69.78,67,Next 50
RD-19585,Rob Dowd,Consumer,West,California,Los Angeles,2017-12-30,2014-04-02,2017-07-03,180,99.0,1.82,10,2912.89,734.52,291.29,25.22,Loyal Customer,0,0.0,255.89,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,69.75,68,Next 50
ED-13885,Emily Ducich,Home Office,Central,Texas,Houston,2017-12-30,2014-08-09,2017-08-17,135,127.0,1.06,8,3484.92,670.44,435.62,19.24,Loyal Customer,0,0.0,143.81,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,69.42,69,Next 50
NC-18340,Nat Carroll,Consumer,Central,North Dakota,Fargo,2017-12-30,2014-03-30,2017-05-20,224,108.0,2.07,5,2461.4,580.31,492.28,23.58,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,69.02,70,Next 50
KW-16435,Katrina Willman,Consumer,East,New York,New York City,2017-12-30,2015-08-24,2017-09-25,96,127.0,0.76,5,4416.52,1756.14,883.3,39.76,Repeat Customer,0,0.0,598.82,-100.0,Recently Inactive,55,Medium Risk,Inactive,0,1,Monitor and re-engage,68.99,71,Next 50
KT-16465,Kean Takahito,Consumer,West,California,San Francisco,2017-12-30,2014-09-08,2016-12-04,391,94.0,4.16,7,3057.1,254.0,436.73,8.31,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,68.94,72,Next 50
JG-15115,Jack Garza,Consumer,South,North Carolina,Jacksonville,2017-12-30,2014-09-21,2015-12-03,758,110.0,6.89,3,2358.68,684.19,786.23,29.01,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,68.92,73,Next 50
DE-13255,Deanra Eno,Home Office,East,Ohio,Springfield,2017-12-30,2014-08-22,2016-01-11,719,95.0,7.57,5,2550.87,464.47,510.17,18.21,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,68.66,74,Next 50
FH-14350,Fred Harton,Consumer,East,Ohio,Dublin,2017-12-30,2015-08-23,2017-06-01,212,75.0,2.83,4,2271.28,706.29,567.82,31.1,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,68.55,75,Next 50
BC-11125,Becky Castell,Home Office,West,Arizona,Peoria,2017-12-30,2014-07-06,2017-06-11,202,95.0,2.13,9,2933.68,251.6,325.96,8.58,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,68.36,76,Long Tail
FC-14335,Fred Chung,Corporate,Central,Texas,Mesquite,2017-12-30,2014-10-10,2017-06-29,184,165.0,1.12,7,3889.37,714.29,555.62,18.37,Loyal Customer,0,0.0,0.0,,Stable,60,High Risk,Churned,1,0,Targeted retention offer,68.05,77,Long Tail
KC-16255,Karen Carlisle,Corporate,South,Alabama,Huntsville,2017-12-30,2014-09-08,2016-11-18,407,134.0,3.04,6,2120.95,846.12,353.49,39.89,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,67.96,78,Long Tail
NM-18520,Neoma Murray,Consumer,East,Connecticut,Manchester,2017-12-30,2015-09-08,2017-04-30,244,64.0,3.81,10,2161.98,788.95,216.2,36.49,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,67.81,79,Long Tail
SJ-20125,Sanjit Jacobs,Home Office,South,Florida,Miramar,2017-12-30,2015-09-22,2017-09-26,95,48.0,1.98,12,3949.66,144.12,329.14,3.65,Loyal Customer,0,0.0,2194.96,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,67.57,80,Long Tail
SW-20455,Shaun Weien,Consumer,West,California,San Diego,2017-12-30,2015-06-22,2017-07-21,162,143.0,1.13,7,2921.54,793.65,417.36,27.17,Loyal Customer,0,0.0,299.89,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,67.4,81,Long Tail
KD-16615,Ken Dana,Corporate,West,California,Los Angeles,2017-12-30,2015-09-13,2017-03-16,289,69.0,4.19,5,2243.51,539.72,448.7,24.06,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,67.33,82,Long Tail
DB-12970,Darren Budd,Corporate,West,California,Los Angeles,2017-12-30,2014-11-12,2017-05-03,241,104.0,2.32,5,2839.23,213.0,567.85,7.5,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,66.94,83,Long Tail
EN-13780,Edward Nazzal,Consumer,Central,Texas,Dallas,2017-12-30,2015-05-30,2017-03-18,287,123.0,2.33,4,2199.37,496.11,549.84,22.56,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,66.5,84,Long Tail
LB-16795,Laurel Beltran,Home Office,East,Delaware,Wilmington,2017-12-30,2014-04-23,2017-07-31,152,78.0,1.95,8,4985.68,-52.19,623.21,-1.05,Loyal Customer,0,0.0,872.5,-100.0,Recently Inactive,70,High Risk,Inactive,1,1,Targeted retention offer,66.42,85,Long Tail
TB-21280,Toby Braunhardt,Consumer,East,District of Columbia,Washington,2017-12-30,2014-06-21,2016-05-26,583,106.0,5.5,6,2198.45,490.96,366.41,22.33,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,66.41,86,Long Tail
RD-19900,Ruben Dartt,Consumer,West,Oregon,Portland,2017-12-30,2014-04-05,2017-09-07,114,94.0,1.21,9,3133.92,455.53,348.21,14.54,Loyal Customer,0,0.0,317.62,-100.0,Recently Inactive,65,High Risk,Inactive,1,1,Targeted retention offer,66.3,87,Long Tail
CA-11965,Carol Adams,Corporate,East,Ohio,Lakewood,2017-12-30,2014-01-26,2017-09-25,96,223.0,0.43,6,3789.72,1143.38,631.62,30.17,Loyal Customer,0,0.0,24.45,-100.0,Recently Inactive,55,Medium Risk,Inactive,0,1,Monitor and re-engage,66.27,88,Long Tail
CM-12235,Chris McAfee,Consumer,East,New York,Watertown,2017-12-30,2016-05-01,2016-12-10,385,48.0,8.02,5,2305.71,365.04,461.14,15.83,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,66.24,89,Long Tail
LD-17005,Lisa DeCherney,Consumer,Central,Michigan,Detroit,2017-12-30,2014-09-29,2016-11-11,414,194.0,2.13,4,1961.93,557.17,490.48,28.4,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,65.63,90,Long Tail
DJ-13420,Denny Joy,Corporate,Central,Wisconsin,Milwaukee,2017-12-30,2014-12-08,2016-04-02,637,180.0,3.54,4,2012.52,483.04,503.13,24.0,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,65.35,91,Long Tail
